Class Index,Description
1,The divisions rending Australia in the general election campaign hardened yesterday as Prime Minister John Howard slipped out through a rear entrance to avoid hundreds of chanting protesters picketing Brisbane #39;s City Hall.
4,"Thirty-two countries and regions are scheduled to participate in the Fifth China International Aviation and Aerospace Exhibition Monday in Zhuhai, China."
3,"India has unveiled a package of trade incentives, aimed at helping the country grow its exports by 20 a year for the next five years."
3,America #39;s biggest mortgage lender was thrown into turmoil yesterday when the industry watchdog accused it of having major accounting problems and doubted the  quot;soundness quot; of the company.
3,"Cendant, the worlds largest travel group, continued its buying spree, saying on Thursday it had agreed to buy privately held Gullivers Travel Associates, the UK-based travel company, and Octopus Travel for about \$1.1bn cash."
4,"Microsoft is downplaying claims that several new vulnerabilities in Windows XP SP2 were discovered by Finjan Software, but it is looking into the claims anyway."
3,"AP - China's economic boom is still roaring despite efforts to cool sizzling growth, with the gross domestic product climbing 9.5 percent in the first three quarters of this year, the government reported Friday."
4,"HOPING to attract more developers worldwide, Sun Microsystems is giving away its latest operating system, Solaris 10, after spending years of development and investing roughly 500 million dollars into the software."
4,"Antivirus software company Symantec Corp. said on Wednesday that it joined a group devoted to fighting online identity theft attacks known as ""phishing scams."""
1,"WASHINGTON, Nov 1 (AFP) - The United States on Monday condemned the beheading of a Japanese tourist by militants in Iraq as a  quot;heinous crime quot; and hailed Tokyo #39;s rejection of terrorist demands to withdraw troops from the insurgency-wracked nation."
3,"The federal Securities Exchange Commission has asked General Motors, Ford and Navistar Corp., a maker of trucks and engines, to provide financial information about their pension and post-retirement healthcare plans."
3,"Washington (Dec. 1, 2004) - Thanks to some fast footwork by regulators at the Securities and Exchange Commission and the Public Company Accounting Oversight Board, accounting firms and many of their smaller"
2,"Once again, it appears the United States is the favorite -- at least on paper -- to win the 35th Ryder Cup matches, which unfold this weekend at Oakland Hills in suburban Detroit."
1,Thirty-three workers have been killed after a gas explosion at a coal mine in China #39;s northern Shanxi province. Officials say 71 miners were in the shaft when the blast occurred at Nanlou township.
1,"Moktada al-Sadr, the rebel Shiite cleric, still retained control of a Najaf shrine, though there were signs his grip might be weakening."
2,AP - Kelli Roehrig had 23 points and 12 rebounds to lead No. 13 Michigan State to an 81-59 victory over Santa Clara on Saturday in the semifinals of the Rainbow Wahine Classic.
1,Russian President Vladimir Putin and visiting Chinese Premier Wen Jiabao sat they want to strengthen cooperation between their countries.
2,"Athens, Greece (Sports Network) - The US women #39;s basketball team continued its impressive play at the Olympics, pulling away from previously-unbeaten Spain for a 71-58 victory on Friday."
4,"Kazaa and Grokster, which belongs to the large FastTrack network, uses the UUHash hashing mechanism to verify files. Its main advantage is that it allows large files to be checked very quickly."
4,"hexene writes  quot;In an open letter to the IETF MARID Working Group, the Apache Software Foundation has rejected the patent-encumbered Sender ID specification."
4,"Gateway Inc. will introduce its first desktops based on Intel Corp.'s new 915G chip set through several retail outlets, the company plans to announce Thursday."
2,"Orlando Magic coach Johnny Davis, right, and Boston Celtics #39; coach Doc Rivers get together prior to their game in Orlando, Fla."
2,Former St. Louis Blues player Mike Danton was sentenced Monday to 7 1/2 years in prison for trying to have his agent killed.
3,"Although the recent flurry of record oil prices might be temporary, government analysts said Thursday that \$30-a-barrel oil should be expected for decades to come."
2,Europe #39;s Ryder Cup players continued to bask in the glow of their victory over the United States as David Howell and Luke Donald climbed to the top
3,"CHICAGO (Reuters) - Goodyear Tire   Rubber Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GT.N target=/stocks/quickinfo/fullquote""&gt;GT.N&lt;/A&gt;, the  largest U.S. tiremaker, on Friday expects a third-quarter  profit above most analysts' expectations, helped by higher tire  prices and stronger sales volume, sending shares up 12 percent."
1,"As Tokyo Correspondent Mark Simkin reports, the remains of Shosei Koda were found in Baghdad.  quot;The decapitated body was wrapped in an American flag."
4,A tiny craft powered by Star Trek #39; technology is standing at the  quot;gateway quot; to the moon - and a landmark date in the history of European space exploration.
2,"Only two berths will be available in the FedEx Orange Bowl, where the Bowl Championship Series national title will be determined Jan. 4. By Mark J. Terrill, AP."
1," LAGOS (Reuters) - Nigerian unions on Monday suspended a  general strike due to start on Tuesday after the government  agreed to reduce domestic fuel prices, union leaders said."
4,"In the face of growing competition from Linux, Microsoft CEO Steve Ballmer delivered a four-page memo to customers on Wednesday outlining the economic and security advantages Windows has over Linux, the potential dangers of open source involving "
4,Forget squeezing millions from a few megahits at the top of the charts. The future of entertainment is in the millions of niche markets at the shallow end of the bit stream. By Chris Anderson from Wired magazine.
4,"Google plans to release a version of its desktop search tool for computers that run Apple Computer #39;s Mac operating system, Google #39;s chief executive, Eric Schmidt, said Friday."
1,"AFP - Typhoon Chaba was approaching Japan and was expected to bring heavy rain and high winds to large areas in southwestern regions over the weekend, officials said."
3,"NOVEMBER 09, 2004 (IDG NEWS SERVICE) - A voice-over-IP service from Vonage Holdings Inc. is not subject to the public utility regulations of individual US states, the Federal Communications Commission declared today."
3,"Some people don #39;t think about federal income taxes until the first week of April. Others jump on them in late January, as soon as their W-2s show up in the mail."
3,"Toyota Motor Corporation said it was on track to expand global sales by more than 2per cent in the next two years, after shrugging off a 1.5per cent drop in quarterly profit."
3,"SAN ANTONIO --(Business Wire)-- Oct. 20, 2004 -- SBC Communications Inc. (NYSE: SBC) today announced a five-year, approximately \$1."
3,"WASHINGTON (Reuters) - The PIMCO mutual fund group has  agreed to pay \$50 million to settle fraud charges involving  improper rapid dealing in mutual fund shares, the U.S.  Securities and Exchange Commission said on Monday."
1,The Iraqi Interior Ministry today said the men were seized from their house in the al-Mansour neighbourhood at dawn. Reports said that there was no fighting during the incident but neither the Foreign Office 
4,"The Mars Exploration Rovers, Spirit and Opportunity, will claim a place in history as tremendous successes. But to get the rovers ready for launch, mission team members had to push themselves to their limits. MER Principal Investigator Steve Squyres explains how they handled the challenge. "
3,Reuters - AstraZeneca Plc. said on Wednesday a new\study in Japan showed a higher rate of a potentially fatal side\effect in patients taking its lung cancer pill Iressa than that\demonstrated in an earlier analysis.
3,"Alliance Capital Management Holding LP (AC.N: Quote, Profile, Research) has agreed to sell its cash management business to Federated Investors Inc."
4,"Microsoft on Friday released a new preview of the presentation subsystem of its upcoming Longhorn version of Windows. The Redmond, Wash."
4,A European project aims to change how people receive their digital entertainment in the future.
4,"Intel Corp. (INTC.O: Quote, Profile, Research) on Thursday canceled plans to introduce its highest-speed desktop computer chip, ending for now a 25-year run that has"
3,"The decision left undecided whether the sale of GEICO #39;s trademarks by Google or any other search engine, in and of itself, violates the trademark laws or other laws."
3,"WASHINGTON (Reuters) - U.S. orders for long-lasting durable  goods rose by a smaller-than-expected 0.2 percent in September,  held back by another sharp fall in commercial aircraft,  government data showed on Wednesday."
2,Tampa Bay Buccaneers owner Malcolm Glazer increased his stake in Manchester United to 25.5 percent Friday as he pursues a possible takeover of the world #39;s richest soccer club.
1,"NAJAF, Iraq (Reuters) - U.S. helicopter gunships pounded  Shi'ite militias in the holy Iraqi city of Najaf on Sunday as  tanks rumbled to within 800 meters (yards) of a holy shrine at  the center of a near three-week insurgency."
3,Volkswagen AG workers demonstrated outside three factories during the latest round of talks between Europe #39;s biggest carmaker and the union representing the company #39;s German employees.
1,Rescuers start evacuating about 30 workers who  were trapped by a fire in a copper mine tunnel in north-western Turkey.
3,"California sued Mirant Corp., a bankrupt US power producer, accusing it of rigging electricity markets during the 2000-2001 energy crisis that led to rolling blackouts and a tenfold increase in consumer energy prices."
3,Oil prices scaled new heights at \$53 for US crude on Thursday on concerns over tight winter heating fuel supplies and an unexpected strike at Nigerian oil terminals.
3,"Ahold NV (AHLN.AS: Quote, Profile, Research) , the Dutch grocery operator, and three former top executives have agreed to settle US securities fraud charges related to massive overbooking of profits, the company and US regulators "
1,"Japan, Brazil, India and Germany are joining forces to lobby for permanent seats on the UN Security Council. The move comes as a high-level panel prepares recommendations on reforming and enlarging the most powerful UN body."
1,"Former Iranian President Akbar Hashemi Rafsanjani announced in Tehran on Tuesday that Iran has now missiles with a range of 2,000 kilometers, saying there are  #39;next stages #39; to the capability, IRNA reported."
1,AFP - A blast at a Siberian mine killed 13 men in the latest disaster to strike Russia's accident-prone industry that has been chronically short of funds following the Soviet collapse.
3,Mortgage rates are at record lows. Save \$1000s on your mortgage payment. Free quotes.
3,"Impala, a group representing 2,000 smaller record labels, said Wednesday it would ask the European Union #39;s high court to overturn a decision by EU regulators approving the merger between the music units of Japan #39;s Sony Corp."
2,AP - Lenny Wilkens gained some job security despite coaching without a hand-picked assistant for the first time in his career as the New York Knicks defeated the Philadelphia 76ers 96-88 Tuesday night.
4,"Three of Japan #39;s largest electronics companies, Hitachi Ltd., Toshiba Corp. and Matsushita Electric Industrial Co. Ltd., have reached a basic agreement to create a joint venture to manufacture and sell LCD"
2,"Southern Miss converted four of the Cornhuskers' five turnovers into points, beating Nebraska 21-17 Saturday to become the first nonconference opponent to win in Lincoln since 1991."
4,"AP - Equipped with a tiny camera, a high-tech device that recognizes the white stripes of a pedestrian crosswalk and reads traffic lights could tell a blind person when it's safe to cross the street, researchers say."
2,"While Tyrone Willingham was being introduced as Washington #39;s 22nd football coach yesterday, Lorenzo Romar leaned against a wall and took the scene in, knowing that reporters would shortly drift his way with a predictable array of questions."
3,"BERLIN : The Group of 20 finance chiefs have shunned action to halt the dollar slide, leaving Europe isolated at the end of a forum here and facing an almost certain further strengthening of the euro."
3,"Reuters - Wal-Mart Stores Inc. , the\world's biggest retailer, on Tuesday reported higher quarterly\profit, meeting Wall Street expectations, and said it was\optimistic about the rest of the year."
1,"A cannabis-like chemical may be important for normal pregnancy, researchers believe."
2,"NASHVILLE, Tennessee (Ticker) -- Tennessee Titans starting left guard Zach Piller will likely be sidelined for the season with a ruptured left biceps."
4,"IT workers in the U.S. aren't happy about the state of the job market, according to a study released this week by New York-based staffing firm Hudson."
3,"Eastman Kodak Co., in the midst of its strengthening its position in digital imaging, Wednesday said it now expects sales of digital products and services to increase by about 36 percent between 2003 and 2007."
3,"Floridians will be able to deduct state sales tax payments from their federal income tax returns for the next two years, under one part of a wide-ranging bill the US Senate passed today."
3," WASHINGTON (Reuters) - What the U.S. Federal Reserve is  taking away from the economy via higher interest rates, the  U.S. Treasury bond market may be giving back -- at least  partially."
4,"A spotted owl perches in the Tahoe National Forest in California, July 12, 2004. The timber industry group that sued to have the threatened species status of the northern spotted owl reviewed says it does"
4,"AP - Cumberland Island is the largest undeveloped barrier island on the Eastern Seaboard and about half of it is federal wilderness area, meaning visitors and National Park Service employees are supposed to hike rather than drive. But the island has a handful of permanent residents who are free to drive on the three roads."
3," FRANKFURT (Reuters) - DaimlerChrysler and General Motors  will jointly develop new hybrid motors to compete against  Japanese rivals on the fuel-saving technology that reduces  harmful emissions, the companies said on Monday."
3,"Cendant Corp., which owns Days Inn hotels and Avis Rent A Car Systems Inc., agreed to buy the UK #39;s Gullivers Travel Associates and Octopus Travel Group Ltd."
4,"Reuters - California plans to sue the Bush\administration over its plans to expand significantly the\amount of logging allowed in the Sierra Nevada mountains, the\state's Democratic attorney general said on Friday."
4,Will launch a fixed wireless service in a 'major city' next year
4,Description: Scientists exploring Mars via the rover  #39;Opportunity #39; published 11 papers detailing the progress of the research being done in an area called Meridiani Planum.
2,"David Moyes praised the Everton fans on Saturday - after they booed Wayne Rooney - for supporting the team  #39;superbly #39;. Leon Osman scored twice as the Toffees beat West Bromwich Albion 2-1 at Goodison Park, but"
3," NEW YORK (Reuters) - U.S. stocks opened lower on Thursday  on the heels of a two-day rally, with Wall Street looking  poised for a pull back, while China's interest rate hike adds  concerns that global economic growth may slow."
4,"USATODAY.com - This tiny shot-on-video downer hits theaters at the same time as a more deluxe home version of Martin Scorsese's career-making melodrama Mean Streets comes to DVD. The timing is probably coincidence, because Creek's anti-urban setting (largely a boat in rocky waters) has far more in common with several other well-known movies, which is part of its problem."
1,"JERUSALEM (Reuters) - Prime Minister Ariel Sharon, facing a  party mutiny over his plan to quit the Gaza Strip, has approved  1,000 more Israeli settler homes in the West Bank in a move  that drew a cautious response on Tuesday from Washington."
3," NEW YORK (Reuters) - Diversified health-care company  Johnson   Johnson &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JNJ.N target=/stocks/quickinfo/fullquote""&gt;JNJ.N&lt;/A&gt; on Tuesday said its quarterly profit  rose on higher sales of prescription drugs and medical devices."
1,AP - Negotiators planned to work until Congress' final moments to get a breakthrough on legislation implementing the Sept. 11 commission's recommendations to protect the nation from terrorism.
1,NEW DELHI: Prime Minister Shaukat Aziz is due in New Delhi today where he is scheduled to meet his Indian counterpart Manmohan Singh to discuss Kashmir and other issues related with the ongoing composite dialogue between the two countries.
1," BANDA ACEH, Indonesia (Reuters) - Survivors huddle in  clearings without food or shelter above the water-damage line  all along the tsunami-ravaged coast of Indonesia's Aceh  province, and corpses float miles out to sea."
3," NEW YORK (Reuters) - U.S. stocks finished Monday  little  changed as crude oil slipped from another record high,  offsetting caution before the U.S. presidential election and  the dollar's broad-based slide."
2,"Frederick Mosteller is a lifelong Red Sox fan. This is impressive on its face, particularly considering that his life began in 1916 and that he has survived almost nine decades with no memory of his team #39;s last World Series victory."
4,"Ziff Davis - The services we once expected from ASPs are back, but now we refer to them as business process outsourcing."
3,"TheDeal.com - The offering, which would be the world's largest this year, is now scheduled to float Dec. 20."
2,"Arsenal manager Arsene Wenger has extended his contract at the English champions until May 2008. Wenger, 55, arrived at Highbury in 1996 and has led the London"
3,"Federal regulators will formally approve Cingular Wireless \$41 billion purchase of AT  T Wireless, according to company officials briefed on the matter."
2,"October 22, 2004. England captain David Beckham has escaped disciplinary action by the Football Association for his deliberate yellow card against Wales."
2,Reuters - Lamar Odom supplemented 20 points with\13 rebounds and Kobe Bryant added 19 points to overcome a big\night from Yao Ming as the Los Angeles Lakers ground out an\84-79 win over the Rockets in Houston Saturday.
4,Ziff Davis - Ex-president Bill Clinton last week delivered the keynote address at the launch of a new business-focused search engine.
3,"Businesses saw inventories rise in July and sales picked up, the government reported Wednesday. The Commerce Department said that stocks of unsold goods increased 0.9 in July, down from a 1.1 rise in June."
4,"Tehachapi resident Michael Melvill, pilot of SpaceShipOne, made a second successful flight into space on the morning of Sept. 29 to vie for the \$10 million prize in the Ansari XPrize competition."
2,The extreme weather conditions have forced all the F1 teams to adapt this weekend. Pat Symonds thinks the result could well be an extremely exciting race
4,"Linux servers are on the rise again thanks in part to low-end and x86-64 based servers, according to a new survey by market research firm Gartner."
4,"Some of South America's key areas are at risk from soya bean exports, campaigners say."
2,"Virginia's men's soccer team loses to visiting Duke, 3-0, on Saturday and fails to make the NCAA semifinals for the eighth time in nine years."
1,"A new dawn breaks over Somalia. The interim Somali Parliament convened a special session in Kenya and elected Colonel Abdullah Yusuf Ahmed, the self-styled leader of the autonomous region of Puntland, as the new interim Somali president."
1,Reuters - The British and Irish prime ministers\presented bitterly divided Northern Ireland politicians on\Wednesday with what their governments insist is their final\plan for restoring home rule in the province.
4,"Firefox 1.0- Mozilla Foundation #39;s first product aimed at users looking for an alternate browser, has met with an overwhelming response from users worldwide."
3,"Taiwan #39;s key stock index fell modestly Wednesday after the island #39;s top producer of made-to-order chips issued a gloomy outlook for the fourth quarter, indicating the technology sector could be in for tough times."
1,"WASHINGTON, Oct 27 (AFP) - The United States downplayed Wednesday interim Iraqi prime minister Iyad Allawi #39;s charge of  quot;negligence quot; by members of the multinational force in Iraq after 49 recruits for Iraq #39;s new army were massacred."
2,Jose Maria Lopez lost what would have been the best result of his rookie FIA F3000 season when he was pitched into a spectacular accident after his front wing fell off.
2,"He believes Sundays 37-14 dismantling of the New York Giants and rookie quarterback Eli Manning, in particular, might come back to haunt the Baltimore Ravens."
1,"The head of the United Nations nuclear agency is in Seoul, South Korea, to discuss the country #39;s past unauthorized nuclear experiments."
4,"TechWeb - The creators of the Globus Toolkit, an open source grid infrastructure software, have formed a new company, Univa, to provide commercial software, services and support for Globus software."
2,"As tailback Ricky Williams contemplates a return to the NFL, his representatives are considering having him file for bankruptcy in an attempt to void the remainder of his contract with the Miami "
2,The Zimbabwe government lifted the ban on visiting journalists even though it was revealed that those journos were denied accreditaion because of insufficient information provided!
2,"Barry Bonds hit his 700th home run Friday night, toppling another milestone and edging closer to Babe Ruth and Hank Aaron."
2,"CBC SPORTS ONLINE - The Toronto Argonauts may need to brush up on tackling for the playoffs, but their pass rush and kicker Noel Prefontaine are in top form."
3,The US dollar rose slightly against the euro yesterday as the Federal Reserve raised a key interest rate by a quarter-point and the US trade deficit was larger than expected.
2,He will have to do something spectacular like that at Conseco Fieldhouse to keep pace with US teammate Kaitlin Sandeno. Phelps won the 200-meter freestyle Thursday night to open the World Swimming
3,"SEPTEMBER 28, 2004 (IDG NEWS SERVICE) - Microsoft Corp. and Amazon.com Inc. today said they have filed one joint and several separate lawsuits against companies and individuals accusing them of trying to defraud"
4,"LOS ANGELES (Zap2it.com) - File-swappers beware. Illegally downloading movies can now get you sued. Like the recording companies, movie studios are fed up with computer users sharing unauthorized copies of"
4,"In an effort to reduce the cycle time between application design and testing and when the application is put into production, Mercury Interactive introduced this week Mercury Business Process Testing. The application will be part of the Mercury Quality Center suite of applications."
1,"LAGOS (AFP) - The Nigerian Labour Congress (NLC) and a coalition of civil society groups on Monday stepped up efforts to whip up support for a planned general strike, called to protest rising fuel prices in the oil-rich west African country."
3,"The other day, while announcing the results of her audit of the city #39;s contract with PR giant Fleishman-Hillard, Los Angeles City Controller Laura Chick touched on a bigger issue than the firm #39;s alleged \$4.2 million in overbilling."
2,"COLUMBIA, SC ---- As South Carolina coach Lou Holtz left the game he #39;s cherished for 33 seasons, he couldn #39;t resist poor-mouthing himself one last time."
2,NEW YORK - The bizarre journey of Ricky Williams will end right where it started - back in the NFL. But it #39;s unlikely he will return to the Dolphins.
3,VIRGIN Atlantic chairman Sir Richard Branson yesterday promised Australian travellers cheaper flights to Britain and attacked the cosy duopoly of Kangaroo route leaders Qantas Airways Ltd and British Airways.
4,The British team that built the space probe for Europe #39;s doomed mission to Mars conceded Tuesday that any future ventures to the Red Planet should have better
3,"USATODAY.com - The holiday shopping season is hurtling toward its close, but demand remains soft and inconsistent. With just 11 days before Christmas - and heading into the last full weekend of shopping - retailers have been steadily easing prices. But a burst of late spending  has yet to materialize."
2,"Reuters - The deal to bring Major League\Baseball back to Washington, D.C, was described by Mayor\Anthony Williams as close to dead Wednesday after the City\Council changed the plan to require private financing."
2,Captain Sourav Ganguly today said India would have forced a result in the first cricket Test against South Africa on a lifeless track had they won the toss and batted first.
2,"Venus Williams, the former world No1, returned to competitive tennis with a convincing 6-4, 6-4 win over Russian qualifier Alina Jidkova in the first round of the Kremlin Cup in Moscow."
2,"LONDON, England -- Chelsea manager Jose Mourinho has moved quickly to rule out a move for Tottenham striker Jermaine Defoe though he admires the talent of the young England star."
2,"For the Braves, Tuesday #39;s rainout means they #39;re scheduled to close the season with 27 games in 27 days, including doubleheaders today against the Phillies and Monday against the Mets in New York."
2,The Steelers combined their new quarterback with Jerome Bettis to dominate the Philadelphia Eagles on Sunday.
4,Nokia will supply equipment supporting GSM and push-to-talk services.
4,"Take a look on e-bay, and you #39;ll find some cheesy items up for sale. But probably none as  quot;cheesy quot; as this one. The on-line auction website, e-bay, took a grilled cheese sandwich listing."
2,"AP - Phil Nevin hit a three-run homer with two outs in the seventh inning, and the Padres rallied from a five-run deficit to beat the Colorado Rockies 7-6 Friday night."
4,"NewsFactor - Computer security firm Secunia has reported what it terms a ""highly critical"" vulnerability in the popular Microsoft (Nasdaq: MSFT) Word desktop computer application. The firm has confirmed the existence of the hole in versions of Word as recent as Word 2000."
1,"Reuters - The U.S. House of Representatives on\Thursday prepared to raise the nation's debt ceiling by  #36;800\billion, taking the new limit to  #36;8.184 trillion."
2,"Real Salt Lake obtained its first player in Major League Soccer Wednesday, trading for Dallas forward Jason Kreis in exchange for future considerations."
2,FIFA president Sepp Blatter has strongly condemned David Beckhams decision to seek a yellow card during Englands clash with Wales on Saturday.
3,"may have been surprised to learn that he had stepped in as head of the beleaguered insurance company, Marsh  amp; McLennan, on Monday, October 25, and has been in the national media spotlight ever since."
1,"BEIJING: China #39;s ruling Communist Party has issued a lengthy policy paper on way to reverse its waning popular support, citing corruption and  quot;hostile forces quot; as issues that could end its 55-year grip on power."
3,"There are always trade-offs to every place people choose to live. If you live in New York, it #39;s too expensive. If you live in Montana, it #39;s too remote. If you live in Florida, you #39;re going to be slammed with hurricanes all the time."
3," NEW YORK (Reuters) - Hurricane Frances threatens to dampen  sales, and possibly earnings, for a slew of companies -- from  insurers to airlines -- as business activity screeches to a  halt only three weeks after Hurricane Charley hit Florida."
4,"Hewlett Packard Co quietly withdrew its Itanium-based workstation line from marketing on September 1, and spent last Friday trying to do damage control with the IT press as the word got out."
2,AP - New Jersey at Cleveland (7 p.m. EST). The Central Division-leading Cavaliers are 7-3 in their last 10 games.
4,"Reuters - Environmentalists urged fishing nations\Thursday to do more to protect the rare Patagonian toothfish,\dubbed the ""white gold"" of the sea which is being driven to\extinction by rampant poaching."
2,"The European tour is investigating Seve Ballesteros, who is accused of assaulting another Spanish golfer off the course during an amateur tournament last month."
3,"Auto parts maker Tower Automotive Inc. (TWR.N: Quote, Profile, Research) said on Tuesday its third-quarter loss would be twice as deep as previously expected because of lower vehicle production in North America and higher steel costs."
3,"Consumer spending accelerated in October as a surge in hiring led to the biggest rise in incomes in five months, the government reported yesterday."
3,WASHINGTON -- Crude futures plowed to a new high near \$49 a barrel yesterday as the threat of sabotage to Iraqi oil infrastructure loomed larger than promises from Baghdad to boost exports in coming days.
4,"By ADAM GOLDMAN    LAS VEGAS (AP) -- The waiter appears tableside in the cozy dining room laden with oil paintings, stained glass and hints of cherry and oak. Before reciting the day's special menu items, he recounts the restaurant's devotion to farm-fresh produce and tosses out a morsel about its namesake, chef Bradley Ogden..."
3,"The chance of Harmony succeeding in its hostile bid for Gold Fields was starting to fade, analysts said yesterday after Harmony received about a third of the shares it had hoped "
3,The European Commission is expected today to approve US-based enterprise software firm Oracle #39;s hostile take-over of rival PeopleSoft.
1,"A spate of bombings which killed six people and injured scores in the past two days is aimed at triggering panic in the revolt-hit Indian state of Assam, an official said yesterday."
3,"The Big Four accounting firms, misinterpreting a nine-year old rule, wrongly let corporate clients understate liabilities and distort their financial health, the regulatory "
3,Reuters - Shares of Comcast Corp.  rose\2 percent before the bell on Wednesday after the largest U.S.\cable operator posted a quarterly profit below Wall Street\estimates but reported better-than-expected gains in high-speed\Internet customers.
1,A hearing into allegations of racism against the Zimbabwe Cricket Union is scrapped after a row over procedure.
3,"Think there are too many Starbucks in the world? The coffee retailer apparently doesn #39;t think there are enough. Starbucks yesterday expanded its estimate of outlets that it eventually plans to open worldwide to 30,000, up from 25,000."
2,"NEW YORK -- The  quot;Basel Baker, quot; a.k.a. Roger Federer, was in town yesterday, peddling his finest bagels on an asphalt meadow in Flushing."
2,"Under Irish head coach Tyrone Willingham, Notre Dame has struggled to shake off the effects of a loss in the previous game. The good news is that the Irish head into this week off of a win."
1,Unification Minister Chung Dong-young on Thursday stressed that the stalled six-way talks over Pyongyangs nuclear weapons programs need to be resumed first in order for the much-anticipated second inter-Korean summit to occur.
2,"Ryan Ohliger could be forgiven if he erred on the side of caution during Boston College kickoffs. The freshman took over the placekicking duties after Mike Fassel injured a hamstring during the offseason. But instead of shying away from collisions, Ohliger has made two tackles in three games."
2,Spanish giants Real Madrid on Monday played down the seriousness of midfielder David Beckham #39;s rib injury and said that the England skipper could play this weekend.
3,"Vector Ltd., New Zealand #39;s largest electricity distributor, agreed to pay NZ\$877 million (\$601 million) for Australian Gas Light Co."
1,She was a stunningly beautiful dancer who caught the eye of North Korea #39;s  quot;Dear Leader quot; Kim Jong Il and became his favorite companion.
3,BAE Systems has launched a search for a senior American businessman to become a non-executive director. The high-profile appointment is designed to strengthen the board at a time when the defence giant is 
1,Description: Tens of thousands of Israeli settlers take to the streets of Jerusalem Sunday evening to protest Prime Minister Ariel Sharon #39;s plan to pull out of the Gaza Strip.
2,"MINNEAPOLIS -- Marion Barber III and Laurence Maroney each surpassed 100 yards rushing for the fifth time in 15 games, and No. 22 Minnesota fought off Illinois State in an unimpressive 37-21 victory yesterday."
3,BRITISH drugs company GlaxoSmithKline has agreed to make public information about its clinical drug trials following accusations it misled doctors about the safety of an anti-depressant for children.
1,Anglo-Irish attempts to seal a lasting political settlement in Northern Ireland hinge on whether the IRA will allow pictures to be taken of their weapons being destroyed.
2,"World number three Lleyton Hewitt says he is expecting a tough exchange with Spain #39;s Carlos Moya, in their opening match of the ATP Masters Cup in Houston tomorrow morning (AEDT)."
2,Qualifying for the World Cup isn #39;t all that complicated. Get three points from every home game and one from every road match and you #39;ll make it every time.
1,"ROME : The bird flu epidemic in Asia is a  quot;crisis of global importance quot; and the virus is unlikely to be eradicated soon, the UN Food and Agriculture Organisation (FAO) and the World Organisation for Animal Health (OIE) warned."
4,A new study released by Macrovision Corporation finds that US software publishers and enterprise software buyers have differing expectations regarding the future of subscription and licensing models.
4,"com October 18, 2004, 8:32 AM PT. This priority retains its ranking at number five as more and more companies deploy Web Services to share business logic, data and processes with each other and with clients."
1,The historic opening last week of US military commissions that have not been used since World War II was marked by twists and turns and a carefully crafted defense strategy 
4,Email users inundated with unsolicited  quot;spam quot; messages have reason to hope Microsoft will develop better tools for tackling the problem: Bill Gates is suffering more than anyone.
2,"Anything is possible for England now. The Champions Trophy, South Africa this winter, the World Cup, the Ashes next summer, global domination, all those things that once "
4,"SOFTWARE  #39;MOTH Microsoft has admitted that it can #39;t beat hackers all the time, but will do its best. That argument was quietly put forward by the softly spoken, shy and retiring, Microsoft CEO Steve Ballmer"
1,"TEHRAN, OCTOBER 24 : Iran on Sunday rejected a European Union proposal that it scrap uranium enrichment in return for nuclear technology, increasing the likelihood it will be reported to the UN Security Council for possible sanctions."
2,"Sports India, Cricket: Nagpur, Oct 24 : Master blaster Sachin Tendulkar has said that he had prepared himself well for the Nagpur test by undergoing intense practice sessions over the last three-four days."
2,"Australia #39;s Lleyton Hewitt further fine-tuned his game ahead of the US Open with a convincing 6-3 6-4 win over Gilles Muller to capture the \$US500,000 (\$A692,377) Washington Open."
2,"A week later, the tape of the fight between the Indiana Pacers and the Detroit fans sticks with me like a bad dream. I am still stunned to watch Ron Artest bound over rows of courtside chairs to attack a fan "
2,"AP - Devin Brown sparked a fourth-quarter spurt with two three-point plays and two dunks, helping the San Antonio Spurs beat the Dallas Mavericks 107-89 Monday night to spoil the pseudo-coaching debut of Avery Johnson."
2,"Gene Upshaw, the executive director of the National Football League Players Association, told the league #39;s ownership and management council Wednesday that the eight"
3,"CMS Energy Corp., the holding company for utility Consumers Energy, said Tuesday that it plans to offer \$200 million of convertible senior notes due 2024, subject to market conditions."
3,"The drive to pass a \$136 billion corporate tax bill hit a roadblock in the Senate yesterday when lawmakers upset about tobacco regulation, new overtime rules, and combat pay employed delaying tactics to keep the measure from coming up for a vote."
4,"AP - The U.S. Commission on Civil Rights voted Friday to wait until after next month's election to discuss a report critical of the Bush administration's civil rights record. Republican members had objected to the report's timing. The report remains posted on the commission's Web site, however, despite objections from GOP commissioners who sought to get it removed."
3,"Reuters - U.S. crude futures skidded more than\half a dollar lower on Monday, as a mild New Year's weekend in\the United States and forecasts for above-average temperatures\were expected to cap heating oil demand, traders said."
4,"His hand on a toggle switch and his eyes on a computer screen, Oregon State University graduate student Anthony Kirincich uses an array of scientific instruments to probe the vibrant waters of the Pacific. He is searching for the absence of life."
